t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
49000,0.021228760480880737,0.0033756308257579803,1,"[12, 183]","[194, 486]",7,-5.597642606325215e-06,-5.282261105236018e-06,0.9988786256977294,0.9961732406247527,0.003086660430838384,0.003086660430838384,0.00309603405015918,0.00029093027114868164,0.0002531707286834717,1.0,1.0,0.021228760480880737,0.003375998232513666,48377.25353899189,28703.797607056524,-22631.90097773075,22610.93466067314,-10.94556051492691,-29.154516722643166,-8.862946383382223
50000,0.021222040057182312,0.003375923726707697,1,"[12, 186]","[197, 486]",7,-5.586404097629465e-06,-5.2830631302532766e-06,0.9988613846667647,0.9960953408424977,0.003085624327608061,0.003085624327608061,0.003095075392275881,0.0002912580966949463,0.0002525746822357178,1.0,1.0,0.021222040057182312,0.00337147805839777,47904.479514181556,29172.04253925273,-23105.079701066017,23078.79876214266,-16.37372714281082,-29.559215247572865,-9.243777110070369
51000,0.021197335794568062,0.003376161912456155,1,"[12, 189]","[200, 486]",7,-5.571792308082537e-06,-5.283316732635044e-06,0.9988350165039531,0.9959587309662168,0.00308377284848782,0.00308377284848782,0.0030932903457389083,0.0002917051315307617,0.0002519190311431885,1.0,1.0,0.021197335794568062,0.0033657532185316086,47431.57319829188,29640.41302173524,-23578.35568845272,23546.776404738426,-21.81310200691223,-29.928886744601186,-9.636616996813245
52000,0.021180670708417892,0.0033763989340513945,1,"[12, 192]","[203, 486]",7,-5.554861483587151e-06,-5.2828551617718945e-06,0.9988207905444917,0.9958006118599019,0.003081922328721509,0.003081922328721509,0.0030914983024378784,0.00029268860816955566,0.00025144219398498535,1.0,1.0,0.021180670708417892,0.0033587031066417694,46958.588340130846,30108.857903414148,-24051.68563771248,24014.815888524055,-27.2752622961998,-30.273977843324246,-10.042014890092105
53000,0.021161742508411407,0.003376667620614171,1,"[12, 195]","[206, 486]",7,-5.536151481986181e-06,-5.2817403749163515e-06,0.9988030050523778,0.9956194943048523,0.0030795374950859378,0.0030795374950859378,0.00308918522761481,0.000293731689453125,0.0002509951591491699,1.0,1.0,0.021161742508411407,0.003351795021444559,46485.499747197784,30577.431046047976,-24525.100282788277,24482.97154456377,-32.733004093170166,-30.60002998606069,-10.459501484205248
54000,0.021140947937965393,0.0033767761196941137,1,"[12, 198]","[209, 486]",7,-5.5174280818851355e-06,-5.279145438271623e-06,0.9988010038470598,0.9954034875132316,0.003076648412253913,0.003076648412253913,0.00308639141100131,0.00029471516609191895,0.0002505779266357422,1.0,1.0,0.021140947937965393,0.0033462850842624903,46012.3112169697,31046.111495121666,-24998.59357237816,24951.22398597002,-38.20366019010544,-30.904789347856422,-10.887509151645645
55000,0.021124467253684998,0.0033770783338695765,1,"[12, 201]","[212, 486]",7,-5.496936258123217e-06,-5.276354313143438e-06,0.9988050053698083,0.9950926904099239,0.003073895684227501,0.003073895684227501,0.0030837766114622522,0.0002961456775665283,0.0002503693103790283,1.0,1.0,0.021124467253684998,0.0033423113636672497,45539.02321228778,31514.903771412,-25472.15887451172,25419.574978649616,-43.68001890182495,-31.182086799497483,-11.328792762382363
56000,0.021101344376802444,0.0033772068563848734,1,"[12, 204]","[215, 486]",7,-5.477544251645275e-06,-5.272294313159243e-06,0.9988380916123517,0.9947043916208049,0.003070819408382608,0.003070819408382608,0.0030808775783337516,0.0002973973751068115,0.00025027990341186523,1.0,1.0,0.021101344376802444,0.0033392480108886957,45065.63857992742,31983.807951181334,-25945.792038202286,25888.026965498924,-49.1549186706543,-31.430618129707,-11.780985682409664
57000,0.02107088826596737,0.003377161920070648,1,"[12, 207]","[218, 486]",7,-5.459598657309979e-06,-5.2669126953197e-06,0.9988994315403873,0.9943172858967158,0.0030676342741825513,0.0030676342741825513,0.0030779394569021012,0.00029852986335754395,0.0002503693103790283,1.0,1.0,0.02107088826596737,0.0033378812950104475,44592.15588023128,32452.8275474688,-26419.495559811592,26356.584392249584,-54.62826180458069,-31.6514400428714,-12.243155219217442
58000,0.02102939411997795,0.003376988461241126,1,"[12, 210]","[221, 486]",7,-5.44486779917358e-06,-5.258567513344631e-06,0.9989932045374935,0.994036410387845,0.0030642076780046934,0.0030642076780046934,0.0030748059566561015,0.00029921531677246094,0.00025087594985961914,1.0,1.0,0.02102939411997795,0.0033376202918589115,44118.58736201069,32921.97372207629,-26893.255087018013,26825.258289694786,-60.07811760902405,-31.842449028699775,-12.715432381504797
59000,0.020992714911699295,0.0033767963759601116,1,"[12, 213]","[224, 486]",7,-5.431327172250555e-06,-5.247404284598498e-06,0.9990779399221036,0.9938543422501617,0.0030612250467740854,0.0030612250467740854,0.0030720873195721476,0.0003002285957336426,0.00025206804275512695,1.0,1.0,0.020992714911699295,0.0033345844130963087,43644.96131824983,33391.20756025501,-27367.05721592903,27294.009282290936,-65.52940315008163,-32.018534178860136,-13.198277964074805
60000,0.020956380292773247,0.0033763933461159468,1,"[12, 216]","[227, 486]",7,-5.421403252396557e-06,-5.231713762205959e-06,0.999171109353292,0.993717278173872,0.003058011622645296,0.003058011622645296,0.003069065533726212,0.0003008544445037842,0.00025388598442077637,1.0,1.0,0.020956380292773247,0.003326606471091509,43171.28456972611,33860.542503403434,-27840.892556786537,27762.8507502079,-70.95983010530472,-32.17712651264446,-13.691753195533238
