step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
21600,2.880954832070e+04,2.880954832070e+04,1.920287292282e+04,9.602310200511e+03,0.000000000000e+00,0.000000000000e+00,2.880954830879e+04,0.000000000000e+00,4.365197363397e+00,1.190602779388e-05,-4.365185457369e+00
21800,2.880963738148e+04,2.880963738148e+04,1.920289662974e+04,9.602326729834e+03,0.000000000000e+00,0.000000000000e+00,2.880963738942e+04,0.000000000000e+00,4.414021905555e+00,-7.942318916321e-06,-4.414029847874e+00
22000,2.880972590194e+04,2.880972590194e+04,1.920292061952e+04,9.602343042790e+03,0.000000000000e+00,0.000000000000e+00,2.880972590792e+04,0.000000000000e+00,4.462239632103e+00,-5.977228283882e-06,-4.462245609331e+00
22200,2.880981558888e+04,2.880981558888e+04,1.920294409939e+04,9.602359525454e+03,0.000000000000e+00,0.000000000000e+00,2.880981558949e+04,0.000000000000e+00,4.511964032019e+00,-6.090849637985e-07,-4.511964641104e+00
22400,2.880990429279e+04,2.880990429279e+04,1.920296719950e+04,9.602376531569e+03,0.000000000000e+00,0.000000000000e+00,2.880990431213e+04,0.000000000000e+00,4.560561716518e+00,-1.934729516506e-05,-4.560581063815e+00
22600,2.880999392042e+04,2.880999392042e+04,1.920299033736e+04,9.602392870889e+03,0.000000000000e+00,0.000000000000e+00,2.880999393201e+04,0.000000000000e+00,4.610712166628e+00,-1.159310340881e-05,-4.610723759732e+00
22800,2.881008387798e+04,2.881008387798e+04,1.920301322794e+04,9.602408963750e+03,0.000000000000e+00,0.000000000000e+00,2.881008390683e+04,0.000000000000e+00,4.661686291842e+00,-2.884492278099e-05,-4.661715136765e+00
23000,2.881017381616e+04,2.881017381616e+04,1.920303611649e+04,9.602424719277e+03,0.000000000000e+00,0.000000000000e+00,2.881017382425e+04,0.000000000000e+00,4.712980397146e+00,-8.089467883110e-06,-4.712988486615e+00
23200,2.881026308050e+04,2.881026308050e+04,1.920305904699e+04,9.602440268674e+03,0.000000000000e+00,0.000000000000e+00,2.881026309013e+04,0.000000000000e+00,4.763764834737e+00,-9.635463356972e-06,-4.763774470201e+00
23400,2.881035302918e+04,2.881035302918e+04,1.920308216568e+04,9.602456880753e+03,0.000000000000e+00,0.000000000000e+00,2.881035306251e+04,0.000000000000e+00,4.813982748012e+00,-3.333389759064e-05,-4.814016081909e+00
