x,Req_r,R_r,dacc_r,net_r,cc,chi
106,1.120952219935e-11,-1.719992468198e-19,-1.284052844678e-21,-1.136150627723e-06,1.057163268549e-01,5.123671625464e-04
107,-1.329147420145e-12,1.844506311445e-20,7.316400529907e-22,1.380039580197e-09,8.006050195649e-04,-9.324494083709e-05
108,-1.353676591110e-12,1.936022697268e-20,-4.499095292300e-22,3.111954751860e-09,3.473558238254e-05,-9.600290896033e-05
109,-1.364550984284e-12,1.892566224322e-20,4.339509374701e-22,5.531432100764e-09,3.357211303706e-05,-9.314392478692e-05
110,-1.397915599702e-12,2.151831961220e-20,-2.762063958438e-22,8.436433310398e-09,3.492776644568e-05,-9.233835542728e-05
111,-1.238074377318e-12,1.913557910406e-20,4.848956727035e-22,9.406618989053e-09,3.539264304530e-05,-9.224187876662e-05
112,-1.272056855985e-12,1.946702677907e-20,2.627029720470e-22,1.047278206186e-08,3.592264716724e-05,-9.189535880282e-05
113,-1.477434599782e-12,2.061604538578e-20,7.119987092862e-23,1.126736803955e-08,3.665389385590e-05,-9.191568529511e-05
114,-1.413176821940e-12,1.946702677907e-20,3.326752589941e-22,1.402303219631e-08,3.640404407910e-05,-9.263418536977e-05
115,-9.400171462482e-13,1.270549420881e-20,-9.943430250377e-23,1.565169797054e-08,3.693679453274e-05,-9.106304606224e-05
116,-1.201991163607e-12,1.832169092430e-20,-1.448549098203e-22,1.671782347725e-08,3.501750643112e-05,-9.377902059422e-05
117,-9.636813086652e-13,1.244770157269e-20,-4.173785537195e-23,1.680801964856e-08,3.708053416967e-05,-9.005656977123e-05
118,-1.363377044112e-12,1.942651650768e-20,7.893365001225e-22,1.801610936957e-08,3.606441168022e-05,-9.278397878694e-05
119,-1.576910582789e-12,2.113163065802e-20,2.958477395482e-22,1.949662834269e-08,3.387012872103e-05,-9.332930521982e-05
120,-5.268519919849e-13,7.394965904724e-21,-1.595859175986e-22,1.971831174476e-08,3.853961098170e-05,-9.006730653935e-05
121,-2.316740036527e-12,3.233456207345e-20,2.013237729706e-22,1.951122770982e-08,2.913945324567e-05,-9.285821225619e-05
122,-1.660692839283e-12,1.990895701242e-20,-1.253363245140e-21,2.014352819811e-08,0.000000000000e+00,-9.353569041872e-05
123,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
124,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
125,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
